episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,1.104029155000262,True,False
2,460.0,702,1087,0.2,0.025979085677218707,4.046175766000033,True,False
3,430.0,506,1593,0.2,0.02794701951981236,9.27597058900028,True,False
4,970.0,746,2339,0.2,0.02652566396660717,12.182608549000179,True,False
5,1260.0,623,2962,0.2,0.024686697474606216,14.29811855800017,True,False
6,620.0,570,3532,0.2,0.0330613416227206,16.296703274000265,True,False
7,670.0,666,4198,0.2,0.035020128851868663,18.862559144999977,True,False
8,1020.0,801,4999,0.2,0.03542520162009168,21.9936628370001,True,False
9,780.0,709,5708,0.2,0.035849718267773015,24.354288042999997,True,False
10,1120.0,714,6422,0.2,0.03815911423736723,26.750060458000007,True,False
11,2960.0,883,7305,0.2,0.03545386638235284,29.71222729300007,True,False
12,370.0,651,7956,0.2,0.03485099240698983,32.409760129000006,True,False
13,420.0,580,8536,0.2,0.03610839062081329,34.794236488000024,True,False
14,430.0,592,9128,0.2,0.03267642351440028,36.83625768599995,True,False
15,1400.0,654,9782,0.2,0.03391632239871367,39.071179047999976,True,False
16,1040.0,893,10675,0.2,0.03831688494676298,42.026109930000075,True,False
17,490.0,492,11167,0.2,0.03857756960697896,43.78781443100024,True,False
18,570.0,662,11829,0.2,0.03840149000724665,46.66321124900014,True,False
19,640.0,551,12380,0.2,0.03647756157780363,48.58707586300034,True,False
20,330.0,523,12903,0.2,0.04335146865520913,50.4046178550002,True,False
21,1330.0,803,13706,0.2,0.04187557610233699,53.13340059600023,True,False
22,910.0,769,14475,0.2,0.04715149362164084,55.712866185000166,True,False
23,2140.0,949,15424,0.2,0.0445047368338535,59.40141085799996,True,False
24,540.0,488,15912,0.2,0.04601799902796257,61.10149975500008,True,False
25,490.0,442,16354,0.2,0.04646345653825185,62.644409827000345,True,False
26,740.0,569,16923,0.2,0.04764366710335541,66.40214325000034,True,False
27,840.0,598,17521,0.2,0.05453758622830113,68.43841561099998,True,False
28,680.0,556,18077,0.2,0.0518258579758753,70.81081040500021,True,False
29,1120.0,836,18913,0.2,0.05254339107254333,73.78980805300034,True,False
30,590.0,553,19466,0.2,0.055763753718170134,75.71754369500013,True,False
31,370.0,420,19886,0.2,0.05333924205707652,77.19736143699993,True,False
32,710.0,595,20481,0.2,0.056496789210144706,79.23736626600021,True,False
33,560.0,516,20997,0.2,0.060752708576764014,81.03116516199998,True,False
34,2110.0,1185,22182,0.2,0.05846604884514031,86.61837024400029,True,False
35,2390.0,970,23152,0.2,0.058285760375146024,89.90027690600027,True,False
36,640.0,573,23725,0.2,0.056435071159857554,91.85650312500002,True,False
37,360.0,520,24245,0.2,0.054948330118965646,93.66062182299993,True,False
38,380.0,464,24709,0.2,0.060129890194291186,95.63638079300017,True,False
39,310.0,514,25223,0.2,0.05903345695696771,97.7144740560002,True,False
40,610.0,597,25820,0.2,0.05348843346660336,99.78542949700022,True,False
41,650.0,670,26490,0.2,0.058730993748915765,102.084991446,True,False
42,990.0,846,27336,0.2,0.06323249705733275,104.9434976880002,True,False
43,300.0,440,27776,0.2,0.0623883371156725,106.49576720699997,True,False
44,780.0,672,28448,0.2,0.05900623043444717,109.45791456899997,True,False
45,290.0,387,28835,0.2,0.05949051351247666,110.86576637500002,True,False
46,500.0,450,29285,0.2,0.06451458752616844,112.47044768000023,True,False
47,450.0,513,29798,0.2,0.06817689511808567,114.29407678400003,True,False
48,800.0,619,30417,0.2,0.070398690569545,116.43525714700036,True,False
49,890.0,1014,31431,0.2,0.07256864312403051,120.00745382900004,True,False
50,470.0,537,31968,0.2,0.07035711886430228,122.33848790000002,True,False
51,640.0,667,32635,0.2,0.06435410640236125,126.28533032099995,True,False
52,460.0,718,33353,0.2,0.06741113242848466,128.72642608900014,True,False
53,580.0,592,33945,0.2,0.06303237455368445,130.72980466900026,True,False
54,640.0,703,34648,0.2,0.06344547897407954,133.5306100040002,True,False
55,430.0,410,35058,0.2,0.06206653393147623,135.2460658509999,True,False
56,410.0,476,35534,0.2,0.06695325473839996,136.91397925399997,True,False
57,630.0,497,36031,0.2,0.07223897240304898,138.62617249000004,True,False
58,950.0,659,36690,0.2,0.07531193222173235,140.87902717800034,True,False
59,1230.0,896,37586,0.2,0.07712787988878388,143.8200545560003,True,False
60,350.0,401,37987,0.2,0.0822759648784995,145.54102128000022,True,False
61,1410.0,863,38850,0.2,0.08047076274157951,148.90074769900002,True,False
62,460.0,500,39350,0.2,0.0772383062839508,150.70228607100034,True,False
63,460.0,464,39814,0.2,0.07055040783698446,152.33012438700007,True,False
64,330.0,401,40215,0.2,0.08168816300109029,153.78389290800033,True,False
65,360.0,407,40622,0.2,0.09411331439646435,155.23613064000028,True,False
66,570.0,542,41164,0.2,0.08207303002093207,157.1485843270002,True,False
67,590.0,614,41778,0.2,0.08058851682794055,159.87849461399992,True,False
68,350.0,458,42236,0.2,0.07898556750429714,161.482439375,True,False
69,320.0,389,42625,0.2,0.09221909922960493,162.88821830200004,True,False
70,1070.0,569,43194,0.2,0.0749416506888581,164.86405648900018,True,False
71,1460.0,931,44125,0.2,0.08461785475151862,167.97679743800018,True,False
72,1070.0,911,45036,0.2,0.08854372626203194,171.52798927899994,True,False
73,300.0,436,45472,0.2,0.07805835307840633,173.26269262899996,True,False
74,580.0,569,46041,0.2,0.0856994696774743,175.238065001,True,False
75,1260.0,772,46813,0.2,0.08096008368048797,177.89174813399995,True,False
76,530.0,485,47298,0.2,0.07221741315500796,181.63648401199998,True,False
77,610.0,613,47911,0.2,0.07644425113411511,184.24574468100036,True,False
78,260.0,459,48370,0.2,0.08176185365604317,186.05302051100034,True,False
79,810.0,725,49095,0.2,0.07024290143558498,188.54651992300023,True,False
80,1080.0,664,49759,0.2,0.08548210537711899,190.84843248700008,True,False
81,790.0,730,50489,0.2,0.07343620190122088,193.3621475150003,True,False
82,1190.0,699,51188,0.2,0.08858707788267306,196.0970238990003,True,False
83,460.0,518,51706,0.2,0.07609389806094095,198.276381314,True,False
84,1570.0,799,52505,0.2,0.07874232238624244,201.03567728000007,True,False
85,1460.0,646,53151,0.2,0.08281658138640179,203.2442358100002,True,False
86,1140.0,747,53898,0.2,0.08718657663918752,205.8081137680001,True,False
87,1380.0,806,54704,0.2,0.08341510359216298,208.9167508200003,True,False
88,530.0,679,55383,0.2,0.08841789938156774,211.54192692100014,True,False
89,1420.0,693,56076,0.2,0.08541909414718206,213.97037361399998,True,False
90,1580.0,773,56849,0.2,0.0926713090476826,216.65929699300023,True,False
91,2040.0,820,57669,0.2,0.07758734198059977,219.46896295900024,True,False
92,1350.0,919,58588,0.2,0.08022288365046615,223.20081680600015,True,False
93,350.0,506,59094,0.2,0.08001315302496391,225.01371620700002,True,False
94,810.0,571,59665,0.2,0.09185427259263042,227.03298330200005,True,False
95,480.0,576,60241,0.2,0.0915553407329652,229.0863540370001,True,False
96,1100.0,801,61042,0.2,0.08038187440019101,231.8636955850002,True,False
97,360.0,497,61539,0.2,0.07006469518396884,234.0064795090002,True,False
98,1130.0,746,62285,0.2,0.08698069798775057,236.85013793300004,True,False
99,450.0,703,62988,0.2,0.08651141543999653,239.27351325300015,True,False
100,500.0,603,63591,0.2,0.08178551076600948,241.39126343900034,True,False
101,880.0,637,64228,0.2,0.0748539650987368,245.895696046,True,False
102,520.0,527,64755,0.2,0.09681441499105164,248.18901212200035,True,False
103,1730.0,1046,65801,0.2,0.09134214078893757,251.754893584,True,False
104,1090.0,1114,66915,0.2,0.07304055488286473,255.4874952780001,True,False
105,420.0,498,67413,0.2,0.08692074420303106,257.25466881500006,True,False
106,360.0,477,67890,0.2,0.08538640988599352,259.38431231899995,True,False
107,1270.0,757,68647,0.2,0.07980322151410359,262.1834165280002,True,False
108,430.0,476,69123,0.2,0.09124044000225909,263.847618023,True,False
109,990.0,691,69814,0.2,0.09840340805751395,266.23412841300024,True,False
110,600.0,554,70368,0.2,0.08120271720313768,268.1877450750003,True,False
111,690.0,567,70935,0.2,0.09884342413844792,270.3902858460001,True,False
112,1090.0,552,71487,0.2,0.08089155741575835,272.87890299300034,True,False
113,490.0,505,71992,0.2,0.09785669238313915,274.6837810740003,True,False
114,530.0,641,72633,0.2,0.09706830728682689,276.9047280970003,True,False
115,680.0,564,73197,0.2,0.09531048672102022,278.87452053900006,True,False
116,430.0,495,73692,0.2,0.11148493981078988,280.6232864450003,True,False
117,1750.0,867,74559,0.2,0.098467103718711,283.90425073200004,True,False
118,530.0,635,75194,0.2,0.09446764040340043,286.5087571910003,True,False
119,1090.0,617,75811,0.2,0.10165073127522097,288.6248319460001,True,False
120,380.0,496,76307,0.2,0.098014980704794,290.4290241440003,True,False
121,1060.0,762,77069,0.2,0.09451937810054624,292.98961764600017,True,False
122,400.0,471,77540,0.2,0.0956073010229837,294.635640468,True,False
123,470.0,420,77960,0.2,0.10846265751336302,296.4401721500003,True,False
124,580.0,492,78452,0.2,0.09156282786734221,298.5687191239999,True,False
125,370.0,367,78819,0.2,0.09664877387439157,299.88842924400024,True,False
126,210.0,317,79136,0.2,0.10571864789817483,302.67523692500026,True,False
127,600.0,527,79663,0.2,0.10901293131515725,304.52400430700027,True,False
128,520.0,683,80346,0.2,0.14058822576414076,306.82950860300025,True,False
129,550.0,446,80792,0.2,0.10888027761497401,308.6225824349999,True,False
130,310.0,461,81253,0.2,0.11347169165054093,310.7769559600001,True,False
131,540.0,550,81803,0.2,0.11987255661863916,312.71448702199996,True,False
132,1200.0,780,82583,0.2,0.10037244281803186,315.4272831789999,True,False
133,420.0,540,83123,0.2,0.10216558327277502,317.2848054680003,True,False
134,870.0,809,83932,0.2,0.11977620874279238,319.98449774300025,True,False
135,860.0,759,84691,0.2,0.10338555983016415,323.1128821269999,True,False
136,2910.0,894,85585,0.2,0.12001257952735093,326.10998741699996,True,False
137,480.0,484,86069,0.2,0.099994052232297,327.8342724170002,True,False
138,450.0,434,86503,0.2,0.10243277056832556,329.33586598700003,True,False
139,470.0,494,86997,0.2,0.11040080454380762,331.02782733699996,True,False
140,430.0,508,87505,0.2,0.1276575803434051,332.7765888839999,True,False
141,440.0,539,88044,0.2,0.10497290168509439,335.1432329620002,True,False
142,850.0,692,88736,0.2,0.09798453589416825,337.60221511300006,True,False
143,1240.0,918,89654,0.2,0.11715024989505002,340.6312742140003,True,False
144,370.0,489,90143,0.2,0.10443373966473536,342.30753164900034,True,False
145,1180.0,1006,91149,0.2,0.10774075330442025,345.677951873,True,False
146,1420.0,973,92122,0.2,0.09793767851965172,349.4652270350002,True,False
147,740.0,551,92673,0.2,0.0885026786962281,351.3610307920003,True,False
148,1220.0,1145,93818,0.2,0.081149085097575,355.1278164600003,True,False
149,270.0,369,94187,0.2,0.09025694179834555,356.438858341,True,False
150,400.0,451,94638,0.2,0.09202323321549766,358.06384613499995,True,False
151,360.0,416,95054,0.2,0.08933217746492189,363.0002356499999,True,False
152,350.0,383,95437,0.2,0.08365490526193753,364.39723642000035,True,False
153,1090.0,1181,96618,0.2,0.10624919940985865,368.234195085,True,False
154,260.0,356,96974,0.2,0.10663081050505128,369.5142522860001,True,False
155,950.0,782,97756,0.2,0.1000993080361157,372.535916242,True,False
156,1070.0,646,98402,0.2,0.09398676304620986,374.910906095,True,False
